"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 -0.02691383
2 -0.02242397
3 -0.01861886
4 -0.01623327
5 -0.01397833
6 -0.01194404
7 -0.0102623
8 -0.008827331
9 -0.007598233
10 -0.006594443
11 -0.005802723
12 -0.005160127
13 -0.004644352
14 -0.004245787
15 -0.003934578
16 -0.003690837
17 -0.00349584
18 -0.003342494
19 -0.003222899
20 -0.003126121
