"report-def-2-rfile"
"Iteration" "report-def-2"
("Iteration" "report-def-2")
1 -1.921767e-05
2 -6.367351e-06
3 4.842856e-05
4 4.417299e-05
5 2.481323e-05
6 -9.170324e-05
7 -0.0001955409
8 -0.0002719957
9 -0.0002812606
10 -0.0002438611
11 -0.000207913
12 -0.0001971519
13 -0.0001838689
14 -0.000148422
15 -9.936282e-05
16 -6.154384e-05
17 -3.005113e-05
18 -2.673034e-06
19 1.959895e-05
20 2.031602e-05
